amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,Alpha,Beta,Max_Drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score,Tracking_Error
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,0.0689952982167755,0.009730745001153627,-0.1440161790933726,31.0,31.0,30.0,39.5,15.0,100.0,0.18908165842556626
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,0.13042924450705445,0.0363563990221998,-0.1757361416468729,28.0,29.0,25.0,35.0,24.0,92.86300246103363,0.18311878418576322
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,0.02896939786637944,-0.04212502902189429,-0.2800112356639287,12.0,33.5,40.0,24.5,35.0,89.08941755537327,0.2256081421513664
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,33.0,33.5,17.0,20.0,14.0,85.5619360131255,0.19294776031543664
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,0.08232801295222093,0.02588321244009315,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,84.82362592288763,0.1878998377218692
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,0.2827036785246582,0.01813388408385925,-0.1639674294693263,23.0,38.5,4.0,36.5,21.0,81.70631665299426,0.21736518889258574
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,34.0,35.5,15.0,4.0,11.0,78.01476620180478,0.19212721030300678
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,0.13173190226099432,-0.004050271130006511,-0.14844576917771746,25.0,21.0,24.0,30.5,16.0,77.85069729286302,0.19326406331048715
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,30.0,19.5,19.0,34.0,7.0,77.03035274815421,0.18368034296960942
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,0.11989100971217971,0.009054412621739139,-0.21117279560132118,14.0,38.5,26.0,10.0,29.0,76.86628383921247,0.2235920824296721
